,item_id,site_id,total_sales,product_name
0,-16893,517,17312.61,MAR KG 3z TWIX CARM 4 TO GO
1,-14148,517,16001.08,MAR KG 3.29z SNICKERS 2 PIECE
2,-12151,517,14952.62,HER KG 3.5z REESES FAST BREAK
3,-12171,517,14373.37,HER KG 2.8z REESES PB CUP
4,-12152,517,13338.56,HER KG 3z KIT KAT
5,-14148,380,12367.23,MAR KG 3.29z SNICKERS 2 PIECE
6,-16893,380,12055.99,MAR KG 3z TWIX CARM 4 TO GO
7,-14148,399,11256.52,MAR KG 3.29z SNICKERS 2 PIECE
8,-21234,517,11064.86,MAR KG 2.83z M&M PB
9,-12165,517,11046.2,MAR KG 3.27z M&M PEANUT
10,-12172,517,10639.17,HER KG 3z REESES STICKS
11,-12171,380,10105.69,HER KG 2.8z REESES PB CUP
12,-12151,380,9762.4,HER KG 3.5z REESES FAST BREAK
13,-12152,380,9482.55,HER KG 3z KIT KAT
14,-16893,580,9459.34,MAR KG 3z TWIX CARM 4 TO GO
15,-14148,580,9041.81,MAR KG 3.29z SNICKERS 2 PIECE
16,-12151,399,8779.65,HER KG 3.5z REESES FAST BREAK
17,-12171,399,8753.16,HER KG 2.8z REESES PB CUP
18,-16893,516,8557.28,MAR KG 3z TWIX CARM 4 TO GO
19,-12165,399,8453.67,MAR KG 3.27z M&M PEANUT
20,-12151,516,8254.41,HER KG 3.5z REESES FAST BREAK
21,-21234,380,8241.86,MAR KG 2.83z M&M PB
22,-16893,399,8148.71,MAR KG 3z TWIX CARM 4 TO GO
23,-12171,589,8066.34,HER KG 2.8z REESES PB CUP
24,-16893,589,8009.3,MAR KG 3z TWIX CARM 4 TO GO
25,-12149,380,7993.42,HER KG 2.7z CARAMELLO
26,-14148,516,7885.48,MAR KG 3.29z SNICKERS 2 PIECE
27,-12172,380,7803.13,HER KG 3z REESES STICKS
28,-16893,459,7801.5,MAR KG 3z TWIX CARM 4 TO GO
29,-12171,580,7723.29,HER KG 2.8z REESES PB CUP
30,-29955,517,7640.46,MAR SNICKERS 1.86z
31,-12165,380,7638.43,MAR KG 3.27z M&M PEANUT
32,-12151,459,7612.84,HER KG 3.5z REESES FAST BREAK
33,-14148,589,7599.58,MAR KG 3.29z SNICKERS 2 PIECE
34,-12165,580,7561.77,MAR KG 3.27z M&M PEANUT
35,-21234,580,7538.42,MAR KG 2.83z M&M PB
36,-43016,517,7534.81,MON SOUR PATCH 8z KIDS WTRMLN BAG
37,-14148,459,7529.21,MAR KG 3.29z SNICKERS 2 PIECE
38,-12151,580,7267.59,HER KG 3.5z REESES FAST BREAK
39,-12171,516,7211.89,HER KG 2.8z REESES PB CUP
40,-12288,517,7195.9,HER KIT KAT 1.5z
41,-12171,459,7153.7,HER KG 2.8z REESES PB CUP
42,-38014,517,7142.16, SWEETARTS 5z CHWY ROPE BAG
43,-12151,589,7121.1,HER KG 3.5z REESES FAST BREAK
44,-12149,517,7111.31,HER KG 2.7z CARAMELLO
45,-12175,517,6853.86,PEARSON KG 3.5z NUT ROLL
46,-12172,516,6843.31,HER KG 3z REESES STICKS
47,-12152,399,6842.09,HER KG 3z KIT KAT
48,-41487,517,6835.03,GUSHERS 4.25z FLVR MIX BAG
49,-12152,516,6808.67,HER KG 3z KIT KAT
50,-12152,580,6805.9,HER KG 3z KIT KAT
51,-12152,459,6748.98,HER KG 3z KIT KAT
52,-21234,399,6595.92,MAR KG 2.83z M&M PB
53,-12286,517,6527.99,HER REESES PB CUP 1.5z
54,-12172,399,6494.76,HER KG 3z REESES STICKS
55,-12169,517,6384.95,HER KG 2.8z REESES BIG CUP
56,-12165,516,6384.14,MAR KG 3.27z M&M PEANUT
57,-43016,589,6356.58,MON SOUR PATCH 8z KIDS WTRMLN BAG
58,-40261,517,6309.76,TRKR SNK 5z PEACH RING BAG
59,-34365,517,6263.98,TROLLI 4z SR BRT EGGS BAG
60,-21234,516,6209.31,MAR KG 2.83z M&M PB
61,-41883,517,6189.06,WRI KG EXTRA POLAR ICE MGPK
62,-34776,517,6181.91,I*MAR KG TWIX PB 2.8z
63,-34776,380,6115.55,I*MAR KG TWIX PB 2.8z
64,-12284,517,6111.05,HER REESES FAST BREAK 1.8z
65,-12152,589,5975.27,HER KG 3z KIT KAT
66,-12165,589,5953.93,MAR KG 3.27z M&M PEANUT
67,-12157,517,5824.42,MAR KG 3.23z SNICKERS ALMD
68,-29955,554,5803.15,MAR SNICKERS 1.86z
69,-12172,580,5791.54,HER KG 3z REESES STICKS
70,-17227,517,5780.67,TROLLI 5Z SR BRT CRWLR BAG
71,-41882,517,5512.16,WRI KG EXTRA SPEARMINT MGPK
72,-12149,516,5454.67,HER KG 2.7z CARAMELLO
73,-12149,399,5413.86,HER KG 2.7z CARAMELLO
74,-12151,554,5354.25,HER KG 3.5z REESES FAST BREAK
75,-41882,399,5315.4,WRI KG EXTRA SPEARMINT MGPK
76,-12154,517,5313.15,BUTTERFINGER KG 3.7z
