,index,site_id,item_id,date,sq_footage,mpds,locale,periodic_gbv,quantity_sold,price,sales
0,163,516,-14148,2017-11-08,5046,12,1,3944879,5,1.9899999999999998,9.95
1,349,380,-14148,2017-11-08,4388,10,1,3715933,4,1.99,7.96
2,492,399,-14148,2017-11-08,4200,10,2,3169351,3,1.99,5.97
3,545,459,-14148,2017-11-08,4600,12,3,2804845,2,1.99,3.98
4,570,517,-14148,2017-11-08,5046,10,4,3344107,2,1.99,3.98
5,581,554,-14148,2017-11-08,4000,20,2,4593539,4,1.74,6.96
6,789,280,-14148,2017-11-08,2408,12,1,2037927,1,1.99,1.99
7,1030,380,-14148,2017-11-09,4388,10,1,3715933,4,1.99,7.96
8,1078,517,-14148,2017-11-09,5046,10,4,3344107,8,1.99,15.92
9,1159,280,-14148,2017-11-09,2408,12,1,2037927,2,1.99,3.98
10,1231,516,-14148,2017-11-09,5046,12,1,3944879,1,1.99,1.99
11,1249,554,-14148,2017-11-09,4000,20,2,4593539,3,1.99,5.97
12,1564,399,-14148,2017-11-09,4200,10,2,3169351,9,1.99,17.91
13,1959,399,-14148,2017-11-10,4200,10,2,3169351,5,1.9899999999999998,9.95
14,2018,380,-14148,2017-11-10,4388,10,1,3715933,5,1.9899999999999998,9.95
15,2058,280,-14148,2017-11-10,2408,12,1,2037927,2,1.99,3.98
16,2278,516,-14148,2017-11-10,5046,12,1,3944879,2,1.99,3.98
17,2288,459,-14148,2017-11-10,4600,12,3,2804845,4,1.99,7.96
18,2486,517,-14148,2017-11-10,5046,10,4,3344107,3,1.99,5.97
19,2790,554,-14148,2017-11-10,4000,20,2,4593539,3,1.99,5.97
20,2989,517,-14148,2017-11-11,5046,10,4,3344107,2,1.99,3.98
21,3102,399,-14148,2017-11-11,4200,10,2,3169351,7,1.99,13.93
22,3176,554,-14148,2017-11-11,4000,20,2,4593539,1,1.99,1.99
23,3271,380,-14148,2017-11-11,4388,10,1,3715933,3,1.99,5.97
24,3493,459,-14148,2017-11-11,4600,12,3,2804845,1,1.99,1.99
25,3500,280,-14148,2017-11-11,2408,12,1,2037927,2,1.99,3.98
26,3765,516,-14148,2017-11-11,5046,12,1,3944879,1,1.99,1.99
27,4094,459,-14148,2017-11-12,4600,12,3,2804845,3,1.99,5.97
28,4281,517,-14148,2017-11-12,5046,10,4,3344107,3,1.99,5.97
29,4336,554,-14148,2017-11-12,4000,20,2,4593539,1,1.99,1.99
30,4346,516,-14148,2017-11-12,5046,12,1,3944879,1,1.99,1.99
31,4596,399,-14148,2017-11-12,4200,10,2,3169351,2,1.99,3.98
32,4832,554,-14148,2017-11-13,4000,20,2,4593539,5,1.9899999999999998,9.95
33,5032,516,-14148,2017-11-13,5046,12,1,3944879,3,1.99,5.97
34,5172,280,-14148,2017-11-13,2408,12,1,2037927,2,1.99,3.98
35,5300,517,-14148,2017-11-13,5046,10,4,3344107,4,1.99,7.96
36,5442,380,-14148,2017-11-13,4388,10,1,3715933,3,1.99,5.97
37,5466,399,-14148,2017-11-13,4200,10,2,3169351,4,1.99,7.96
38,5639,554,-14148,2017-11-14,4000,20,2,4593539,2,1.99,3.98
39,5783,517,-14148,2017-11-14,5046,10,4,3344107,3,1.99,5.97
40,5801,459,-14148,2017-11-14,4600,12,3,2804845,1,1.99,1.99
41,5842,516,-14148,2017-11-14,5046,12,1,3944879,6,1.99,11.94
42,6009,399,-14148,2017-11-14,4200,10,2,3169351,5,1.9899999999999998,9.95
43,6272,380,-14148,2017-11-14,4388,10,1,3715933,2,1.99,3.98
44,6779,554,-14148,2017-11-15,4000,20,2,4593539,2,1.99,3.98
45,6965,380,-14148,2017-11-15,4388,10,1,3715933,3,1.99,5.97
46,6982,516,-14148,2017-11-15,5046,12,1,3944879,4,1.99,7.96
