,0
"(459, -44763, 'cfg')","(0, 1, 0)"
"(459, -44763, 'rmse')",0.0
"(459, -44763, 'sum')",0
"(516, -30755, 'cfg')","(0, 1, 0)"
"(516, -30755, 'rmse')",0.0
"(516, -30755, 'sum')",0
"(280, -30764, 'cfg')","(0, 1, 0)"
"(280, -30764, 'rmse')",0.0
"(280, -30764, 'sum')",0
"(459, -40507, 'cfg')","(0, 1, 0)"
"(459, -40507, 'rmse')",0.0
"(459, -40507, 'sum')",0
"(280, -40562, 'cfg')","(0, 1, 0)"
"(280, -40562, 'rmse')",0.0
"(280, -40562, 'sum')",0
"(459, -40508, 'cfg')","(0, 1, 0)"
"(459, -40508, 'rmse')",0.0
"(459, -40508, 'sum')",0
"(459, -34071, 'cfg')","(0, 1, 0)"
"(459, -34071, 'rmse')",0.0
"(459, -34071, 'sum')",0
"(280, -35452, 'cfg')","(0, 1, 0)"
"(280, -35452, 'rmse')",0.0
"(280, -35452, 'sum')",0
