,0
"(280, -12172, 'cfg')","(14, 0, 8)"
"(280, -12172, 'rmse')",0.98
"(280, -12172, 'sum')",6
"(380, -12172, 'cfg')","(14, 2, 8)"
"(380, -12172, 'rmse')",3.13
"(380, -12172, 'sum')",59
"(554, -12172, 'cfg')","(28, 2, 2)"
"(554, -12172, 'rmse')",1.93
"(554, -12172, 'sum')",17
"(516, -12172, 'cfg')","(7, 1, 2)"
"(516, -12172, 'rmse')",1.53
"(516, -12172, 'sum')",29
"(399, -12172, 'cfg')","(7, 0, 8)"
"(399, -12172, 'rmse')",1.62
"(399, -12172, 'sum')",33
"(459, -12172, 'cfg')","(7, 1, 8)"
"(459, -12172, 'rmse')",2.54
"(459, -12172, 'sum')",39
"(517, -12172, 'cfg')","(7, 0, 8)"
"(517, -12172, 'rmse')",3.06
"(517, -12172, 'sum')",47
"(580, -12172, 'cfg')","(28, 1, 8)"
"(580, -12172, 'rmse')",3.14
"(580, -12172, 'sum')",41
"(589, -12172, 'cfg')","(14, 2, 8)"
"(589, -12172, 'rmse')",2.89
"(589, -12172, 'sum')",63
"(601, -12172, 'cfg')","(7, 0, 2)"
"(601, -12172, 'rmse')",1.24
"(601, -12172, 'sum')",35
"(280, -29955, 'cfg')","(14, 2, 2)"
"(280, -29955, 'rmse')",1.22
"(280, -29955, 'sum')",9
"(380, -29955, 'cfg')","(7, 2, 4)"
"(380, -29955, 'rmse')",2.24
"(380, -29955, 'sum')",24
"(554, -29955, 'cfg')","(7, 2, 8)"
"(554, -29955, 'rmse')",1.39
"(554, -29955, 'sum')",12
"(516, -29955, 'cfg')","(7, 2, 4)"
"(516, -29955, 'rmse')",1.92
"(516, -29955, 'sum')",22
"(399, -29955, 'cfg')","(7, 2, 4)"
"(399, -29955, 'rmse')",2.32
"(399, -29955, 'sum')",24
"(459, -29955, 'cfg')","(7, 0, 8)"
"(459, -29955, 'rmse')",3.15
"(459, -29955, 'sum')",33
"(517, -29955, 'cfg')","(7, 0, 4)"
"(517, -29955, 'rmse')",6.32
"(517, -29955, 'sum')",43
"(580, -29955, 'cfg')","(14, 1, 8)"
"(580, -29955, 'rmse')",3.18
"(580, -29955, 'sum')",30
"(589, -29955, 'cfg')","(14, 0, 4)"
"(589, -29955, 'rmse')",2.84
"(589, -29955, 'sum')",47
"(601, -29955, 'cfg')","(28, 0, 8)"
"(601, -29955, 'rmse')",2.77
"(601, -29955, 'sum')",28
"(280, -21234, 'cfg')","(14, 1, 4)"
"(280, -21234, 'rmse')",2.17
"(280, -21234, 'sum')",27
"(380, -21234, 'cfg')","(7, 1, 8)"
"(380, -21234, 'rmse')",4.01
"(380, -21234, 'sum')",80
"(554, -21234, 'cfg')","(7, 2, 4)"
"(554, -21234, 'rmse')",1.62
"(554, -21234, 'sum')",25
"(516, -21234, 'cfg')","(14, 2, 8)"
"(516, -21234, 'rmse')",2.71
"(516, -21234, 'sum')",52
"(399, -21234, 'cfg')","(14, 0, 8)"
"(399, -21234, 'rmse')",2.52
"(399, -21234, 'sum')",52
"(459, -21234, 'cfg')","(7, 0, 8)"
"(459, -21234, 'rmse')",1.43
"(459, -21234, 'sum')",30
"(517, -21234, 'cfg')","(14, 0, 8)"
"(517, -21234, 'rmse')",4.45
"(517, -21234, 'sum')",88
"(580, -21234, 'cfg')","(28, 0, 8)"
"(580, -21234, 'rmse')",4.75
"(580, -21234, 'sum')",56
"(589, -21234, 'cfg')","(7, 2, 2)"
"(589, -21234, 'rmse')",5.0
"(589, -21234, 'sum')",79
"(601, -21234, 'cfg')","(7, 0, 2)"
"(601, -21234, 'rmse')",6.85
"(601, -21234, 'sum')",85
"(280, -12165, 'cfg')","(14, 0, 2)"
"(280, -12165, 'rmse')",1.75
"(280, -12165, 'sum')",22
"(380, -12165, 'cfg')","(7, 0, 8)"
"(380, -12165, 'rmse')",4.45
"(380, -12165, 'sum')",72
"(554, -12165, 'cfg')","(7, 2, 4)"
"(554, -12165, 'rmse')",2.99
"(554, -12165, 'sum')",36
"(516, -12165, 'cfg')","(14, 0, 2)"
"(516, -12165, 'rmse')",4.15
"(516, -12165, 'sum')",70
"(399, -12165, 'cfg')","(7, 1, 4)"
"(399, -12165, 'rmse')",1.62
"(399, -12165, 'sum')",55
"(459, -12165, 'cfg')","(28, 0, 8)"
"(459, -12165, 'rmse')",2.79
"(459, -12165, 'sum')",52
"(517, -12165, 'cfg')","(28, 0, 8)"
"(517, -12165, 'rmse')",6.73
"(517, -12165, 'sum')",103
"(580, -12165, 'cfg')","(28, 0, 8)"
"(580, -12165, 'rmse')",3.65
"(580, -12165, 'sum')",51
"(589, -12165, 'cfg')","(28, 0, 4)"
"(589, -12165, 'rmse')",6.47
"(589, -12165, 'sum')",89
"(601, -12165, 'cfg')","(28, 0, 8)"
"(601, -12165, 'rmse')",4.96
"(601, -12165, 'sum')",77
"(280, -12152, 'cfg')","(28, 0, 8)"
"(280, -12152, 'rmse')",0.69
"(280, -12152, 'sum')",8
"(380, -12152, 'cfg')","(28, 1, 4)"
"(380, -12152, 'rmse')",3.57
"(380, -12152, 'sum')",37
"(554, -12152, 'cfg')","(14, 2, 2)"
"(554, -12152, 'rmse')",1.26
"(554, -12152, 'sum')",8
"(516, -12152, 'cfg')","(14, 0, 8)"
"(516, -12152, 'rmse')",1.61
"(516, -12152, 'sum')",17
"(399, -12152, 'cfg')","(7, 1, 8)"
"(399, -12152, 'rmse')",1.1
"(399, -12152, 'sum')",23
"(459, -12152, 'cfg')","(7, 2, 4)"
"(459, -12152, 'rmse')",1.37
"(459, -12152, 'sum')",27
"(517, -12152, 'cfg')","(7, 0, 4)"
"(517, -12152, 'rmse')",1.97
"(517, -12152, 'sum')",49
"(580, -12152, 'cfg')","(28, 1, 2)"
"(580, -12152, 'rmse')",1.14
"(580, -12152, 'sum')",16
"(589, -12152, 'cfg')","(14, 2, 2)"
"(589, -12152, 'rmse')",2.94
"(589, -12152, 'sum')",27
"(601, -12152, 'cfg')","(7, 2, 8)"
"(601, -12152, 'rmse')",1.86
"(601, -12152, 'sum')",27
"(280, -12151, 'cfg')","(7, 0, 4)"
"(280, -12151, 'rmse')",2.51
"(280, -12151, 'sum')",28
"(380, -12151, 'cfg')","(14, 2, 8)"
"(380, -12151, 'rmse')",6.09
"(380, -12151, 'sum')",92
"(554, -12151, 'cfg')","(14, 2, 4)"
"(554, -12151, 'rmse')",1.53
"(554, -12151, 'sum')",22
"(516, -12151, 'cfg')","(7, 1, 8)"
"(516, -12151, 'rmse')",6.77
"(516, -12151, 'sum')",97
"(399, -12151, 'cfg')","(7, 2, 2)"
"(399, -12151, 'rmse')",4.81
"(399, -12151, 'sum')",95
"(459, -12151, 'cfg')","(14, 2, 8)"
"(459, -12151, 'rmse')",2.98
"(459, -12151, 'sum')",62
"(517, -12151, 'cfg')","(14, 1, 8)"
"(517, -12151, 'rmse')",5.77
"(517, -12151, 'sum')",124
"(580, -12151, 'cfg')","(7, 2, 4)"
"(580, -12151, 'rmse')",6.82
"(580, -12151, 'sum')",108
"(589, -12151, 'cfg')","(28, 1, 8)"
"(589, -12151, 'rmse')",9.54
"(589, -12151, 'sum')",142
"(601, -12151, 'cfg')","(7, 1, 8)"
"(601, -12151, 'rmse')",5.95
"(601, -12151, 'sum')",83
"(280, -12171, 'cfg')","(7, 1, 8)"
"(280, -12171, 'rmse')",1.65
"(280, -12171, 'sum')",27
"(380, -12171, 'cfg')","(14, 2, 4)"
"(380, -12171, 'rmse')",4.19
"(380, -12171, 'sum')",107
"(554, -12171, 'cfg')","(14, 2, 8)"
"(554, -12171, 'rmse')",1.3
"(554, -12171, 'sum')",25
"(516, -12171, 'cfg')","(7, 2, 2)"
"(516, -12171, 'rmse')",7.66
"(516, -12171, 'sum')",116
"(399, -12171, 'cfg')","(28, 0, 2)"
"(399, -12171, 'rmse')",3.38
"(399, -12171, 'sum')",61
"(459, -12171, 'cfg')","(7, 1, 8)"
"(459, -12171, 'rmse')",3.16
"(459, -12171, 'sum')",54
"(517, -12171, 'cfg')","(7, 2, 2)"
"(517, -12171, 'rmse')",6.66
"(517, -12171, 'sum')",147
"(580, -12171, 'cfg')","(7, 1, 8)"
"(580, -12171, 'rmse')",3.53
"(580, -12171, 'sum')",72
"(589, -12171, 'cfg')","(14, 2, 8)"
"(589, -12171, 'rmse')",5.84
"(589, -12171, 'sum')",131
"(601, -12171, 'cfg')","(7, 2, 8)"
"(601, -12171, 'rmse')",3.06
"(601, -12171, 'sum')",76
"(280, -12066, 'cfg')","(14, 2, 2)"
"(280, -12066, 'rmse')",3.69
"(280, -12066, 'sum')",10
"(380, -12066, 'cfg')","(14, 2, 8)"
"(380, -12066, 'rmse')",15.09
"(380, -12066, 'sum')",86
"(554, -12066, 'cfg')","(14, 0, 8)"
"(554, -12066, 'rmse')",2.88
"(554, -12066, 'sum')",10
"(516, -12066, 'cfg')","(7, 2, 2)"
"(516, -12066, 'rmse')",3.05
"(516, -12066, 'sum')",10
"(399, -12066, 'cfg')","(28, 2, 2)"
"(399, -12066, 'rmse')",3.27
"(399, -12066, 'sum')",9
"(459, -12066, 'cfg')","(14, 0, 8)"
"(459, -12066, 'rmse')",7.15
"(459, -12066, 'sum')",75
"(517, -12066, 'cfg')","(7, 0, 8)"
"(517, -12066, 'rmse')",12.5
"(517, -12066, 'sum')",75
"(580, -12066, 'cfg')","(7, 2, 2)"
"(580, -12066, 'rmse')",3.38
"(580, -12066, 'sum')",10
"(589, -12066, 'cfg')","(7, 0, 4)"
"(589, -12066, 'rmse')",5.77
"(589, -12066, 'sum')",50
"(601, -12066, 'cfg')","(7, 2, 2)"
"(601, -12066, 'rmse')",3.13
"(601, -12066, 'sum')",18
"(280, -16893, 'cfg')","(14, 0, 2)"
"(280, -16893, 'rmse')",2.68
"(280, -16893, 'sum')",34
"(380, -16893, 'cfg')","(14, 1, 8)"
"(380, -16893, 'rmse')",5.74
"(380, -16893, 'sum')",107
"(554, -16893, 'cfg')","(14, 1, 4)"
"(554, -16893, 'rmse')",1.41
"(554, -16893, 'sum')",22
"(516, -16893, 'cfg')","(14, 1, 8)"
"(516, -16893, 'rmse')",4.56
"(516, -16893, 'sum')",73
"(399, -16893, 'cfg')","(28, 0, 8)"
"(399, -16893, 'rmse')",2.59
"(399, -16893, 'sum')",52
"(459, -16893, 'cfg')","(28, 0, 4)"
"(459, -16893, 'rmse')",3.36
"(459, -16893, 'sum')",47
"(517, -16893, 'cfg')","(14, 2, 8)"
"(517, -16893, 'rmse')",4.03
"(517, -16893, 'sum')",111
"(580, -16893, 'cfg')","(14, 0, 8)"
"(580, -16893, 'rmse')",5.96
"(580, -16893, 'sum')",74
"(589, -16893, 'cfg')","(7, 1, 4)"
"(589, -16893, 'rmse')",6.1
"(589, -16893, 'sum')",110
"(601, -16893, 'cfg')","(7, 2, 4)"
"(601, -16893, 'rmse')",4.05
"(601, -16893, 'sum')",77
"(280, -14148, 'cfg')","(14, 0, 4)"
"(280, -14148, 'rmse')",1.29
"(280, -14148, 'sum')",18
"(380, -14148, 'cfg')","(14, 0, 8)"
"(380, -14148, 'rmse')",3.09
"(380, -14148, 'sum')",72
"(554, -14148, 'cfg')","(7, 0, 4)"
"(554, -14148, 'rmse')",1.71
"(554, -14148, 'sum')",23
"(516, -14148, 'cfg')","(28, 2, 2)"
"(516, -14148, 'rmse')",2.17
"(516, -14148, 'sum')",27
"(399, -14148, 'cfg')","(7, 2, 2)"
"(399, -14148, 'rmse')",2.2
"(399, -14148, 'sum')",46
"(459, -14148, 'cfg')","(28, 0, 8)"
"(459, -14148, 'rmse')",2.99
"(459, -14148, 'sum')",38
"(517, -14148, 'cfg')","(28, 1, 2)"
"(517, -14148, 'rmse')",3.76
"(517, -14148, 'sum')",53
"(580, -14148, 'cfg')","(14, 0, 4)"
"(580, -14148, 'rmse')",3.04
"(580, -14148, 'sum')",46
"(589, -14148, 'cfg')","(28, 0, 8)"
"(589, -14148, 'rmse')",3.15
"(589, -14148, 'sum')",62
"(601, -14148, 'cfg')","(7, 1, 8)"
"(601, -14148, 'rmse')",2.43
"(601, -14148, 'sum')",68
"(280, -26802, 'cfg')","(7, 2, 2)"
"(280, -26802, 'rmse')",0.02
"(280, -26802, 'sum')",0
"(380, -26802, 'cfg')","(28, 1, 4)"
"(380, -26802, 'rmse')",0.82
"(380, -26802, 'sum')",6
"(554, -26802, 'cfg')","(7, 0, 4)"
"(554, -26802, 'rmse')",0.44
"(554, -26802, 'sum')",2
"(516, -26802, 'cfg')","(7, 1, 4)"
"(516, -26802, 'rmse')",0.91
"(516, -26802, 'sum')",6
"(399, -26802, 'cfg')","(14, 1, 2)"
"(399, -26802, 'rmse')",1.15
"(399, -26802, 'sum')",10
"(459, -26802, 'cfg')","(7, 2, 8)"
"(459, -26802, 'rmse')",1.35
"(459, -26802, 'sum')",13
"(517, -26802, 'cfg')","(7, 2, 4)"
"(517, -26802, 'rmse')",0.51
"(517, -26802, 'sum')",4
"(580, -26802, 'cfg')","(14, 0, 2)"
"(580, -26802, 'rmse')",1.05
"(580, -26802, 'sum')",8
"(589, -26802, 'cfg')","(7, 2, 2)"
"(589, -26802, 'rmse')",0.48
"(589, -26802, 'sum')",6
"(601, -26802, 'cfg')","(7, 0, 8)"
"(601, -26802, 'rmse')",0.47
"(601, -26802, 'sum')",6
"(280, -12248, 'cfg')","(7, 0, 8)"
"(280, -12248, 'rmse')",0.28
"(280, -12248, 'sum')",1
"(380, -12248, 'cfg')","(7, 2, 8)"
"(380, -12248, 'rmse')",0.38
"(380, -12248, 'sum')",2
"(554, -12248, 'cfg')","(7, 0, 4)"
"(554, -12248, 'rmse')",0.28
"(554, -12248, 'sum')",1
"(516, -12248, 'cfg')","(7, 2, 2)"
"(516, -12248, 'rmse')",0.18
"(516, -12248, 'sum')",0
"(399, -12248, 'cfg')","(7, 2, 2)"
"(399, -12248, 'rmse')",0.46
"(399, -12248, 'sum')",3
"(459, -12248, 'cfg')","(7, 2, 2)"
"(459, -12248, 'rmse')",0.11
"(459, -12248, 'sum')",0
"(517, -12248, 'cfg')","(7, 2, 2)"
"(517, -12248, 'rmse')",0.56
"(517, -12248, 'sum')",1
"(580, -12248, 'cfg')","(28, 2, 8)"
"(580, -12248, 'rmse')",0.97
"(580, -12248, 'sum')",8
"(589, -12248, 'cfg')","(28, 2, 8)"
"(589, -12248, 'rmse')",1.18
"(589, -12248, 'sum')",9
"(601, -12248, 'cfg')","(7, 0, 8)"
"(601, -12248, 'rmse')",0.99
"(601, -12248, 'sum')",9
"(280, -45240, 'cfg')","(14, 1, 4)"
"(280, -45240, 'rmse')",7.67
"(280, -45240, 'sum')",12
"(380, -45240, 'cfg')","(14, 0, 4)"
"(380, -45240, 'rmse')",4.87
"(380, -45240, 'sum')",4
"(554, -45240, 'cfg')","(7, 1, 2)"
"(554, -45240, 'rmse')",0.07
"(554, -45240, 'sum')",0
"(516, -45240, 'cfg')","(7, 0, 2)"
"(516, -45240, 'rmse')",5.95
"(516, -45240, 'sum')",53
"(399, -45240, 'cfg')","(7, 1, 2)"
"(399, -45240, 'rmse')",1.82
"(399, -45240, 'sum')",31
"(459, -45240, 'cfg')","(14, 2, 4)"
"(459, -45240, 'rmse')",0.84
"(459, -45240, 'sum')",1
"(517, -45240, 'cfg')","(14, 0, 2)"
"(517, -45240, 'rmse')",1.66
"(517, -45240, 'sum')",4
"(580, -45240, 'cfg')","(7, 2, 2)"
"(580, -45240, 'rmse')",0.64
"(580, -45240, 'sum')",2
"(589, -45240, 'cfg')","(7, 0, 4)"
"(589, -45240, 'rmse')",1.99
"(589, -45240, 'sum')",9
"(601, -45240, 'cfg')","(7, 1, 4)"
"(601, -45240, 'rmse')",0.03
"(601, -45240, 'sum')",0
"(280, -27618, 'cfg')","(28, 1, 8)"
"(280, -27618, 'rmse')",0.73
"(280, -27618, 'sum')",6
"(380, -27618, 'cfg')","(7, 2, 2)"
"(380, -27618, 'rmse')",0.01
"(380, -27618, 'sum')",0
"(554, -27618, 'cfg')","(28, 1, 4)"
"(554, -27618, 'rmse')",0.83
"(554, -27618, 'sum')",5
"(516, -27618, 'cfg')","(28, 2, 8)"
"(516, -27618, 'rmse')",0.85
"(516, -27618, 'sum')",6
"(399, -27618, 'cfg')","(7, 2, 2)"
"(399, -27618, 'rmse')",0.58
"(399, -27618, 'sum')",2
"(459, -27618, 'cfg')","(7, 2, 4)"
"(459, -27618, 'rmse')",0.07
"(459, -27618, 'sum')",0
"(517, -27618, 'cfg')","(14, 2, 8)"
"(517, -27618, 'rmse')",0.9
